('应用',) : 0.134868
('数据', '保险公司', '利润', '制造业', '避免', '半导体') : 0.121711
('模式', '网站', '保留', '个性化', '电子商务', '识别') : 0.115132
('数据', '保险公司', '道德风险', '提高质量', '半导体', '成本') : 0.121711
('模式', '客户', '保留', '个性化', '电子商务', '识别') : 0.115132
('购买', '规则', '购物券', '商品', '打折', '销售额') : 0.111842
('数据', '保险公司', '道德风险', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '道德风险', '制造业', '半导体') : 0.121711
('保险公司', '利润', '道德风险', '避免', '商品', '成本') : 0.105263
('手段', '购买', '规则', '促销', '商品', '打折') : 0.115132
('利润', '道德风险', '提高质量', '制造业', '避免', '成本') : 0.121711
('数据', '利润', '提高质量', '制造业', '避免', '半导体') : 0.121711
('数据', '保险公司', '提高质量', '制造业', '半导体', '成本') : 0.125000
('手段', '购买', '规则', '购物券', '销售额', '打折') : 0.111842
('模式', '网站', '保留', '用户', '个性化', '识别') : 0.115132
('保险公司', '道德风险', '提高质量', '制造业', '避免', '成本') : 0.121711
('数据', '道德风险', '提高质量', '避免', '半导体', '成本') : 0.121711
('手段', '购买', '商场', '商品', '打折', '销售额') : 0.108553
('数据', '保险公司', '利润', '道德风险', '避免', '半导体') : 0.121711
('客户', '网站', '个性化', '用户', '电子商务', '识别') : 0.118421
('客户', '网站', '保留', '个性化', '用户', '电子商务') : 0.118421
('数据', '利润', '提高质量', '制造业', '避免', '成本') : 0.121711
('手段', '购买', '规则', '商场', '销售额', '打折') : 0.108553
('保险公司', '购买', '利润', '道德风险', '商品', '成本') : 0.105263
('手段', '购买', '规则', '商场', '购物券', '销售额') : 0.105263
('保险公司', '利润', '提高质量', '避免', '半导体', '成本') : 0.121711
('数据', '利润', '道德风险', '提高质量', '制造业', '避免') : 0.121711
('模式', '网站', '保留', '用户', '电子商务', '识别') : 0.115132
('保险公司', '利润', '道德风险', '提高质量', '避免', '半导体') : 0.121711
('利润', '道德风险', '提高质量', '制造业', '半导体', '成本') : 0.121711
('手段', '购买', '促销', '商场', '购物券', '商品') : 0.105263
('数据', '保险公司', '利润', '道德风险', '提高质量', '成本') : 0.121711
('手段', '购买', '规则', '促销', '商场', '销售额') : 0.108553
('保险公司', '购买', '利润', '道德风险', '避免', '商品') : 0.105263
('购买', '促销', '商场', '商品', '打折', '销售额') : 0.108553
('保险公司', '利润', '道德风险', '提高质量', '半导体', '成本') : 0.121711
('数据', '利润', '道德风险', '提高质量', '制造业', '成本') : 0.121711
('数据', '保险公司', '提高质量', '制造业', '避免', '成本') : 0.121711
('手段', '购买', '规则', '促销', '购物券', '打折') : 0.111842
('模式', '客户', '网站', '保留', '个性化', '识别') : 0.115132
('购买', '手段', '规则', '促销', '商品', '销售额') : 0.115132
('数据', '保险公司', '道德风险', '提高质量', '避免', '成本') : 0.121711
('购买', '规则', '商场', '商品', '打折', '销售额') : 0.108553
('模式', '网站', '个性化', '用户', '电子商务', '识别') : 0.115132
('数据', '保险公司', '利润', '制造业', '避免', '成本') : 0.121711
('道德风险', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('手段', '规则', '商场', '购物券', '销售额', '打折') : 0.105263
('模式', '网站', '保留', '用户', '个性化', '电子商务') : 0.115132
('购买', '手段', '促销', '商场', '销售额', '打折') : 0.108553
('数据', '保险公司', '利润', '提高质量', '制造业', '成本') : 0.121711
('购买', '利润', '道德风险', '避免', '商品', '成本') : 0.105263
('促销', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('手段', '促销', '商场', '购物券', '商品', '打折') : 0.105263
('购买', '手段', '规则', '商品', '购物券', '销售额') : 0.111842
('数据', '利润', '道德风险', '提高质量', '避免', '成本') : 0.121711
('保险公司', '购买', '利润', '道德风险', '避免', '成本') : 0.105263
('手段', '购买', '商场', '购物券', '销售额', '打折') : 0.105263
('购买', '手段', '规则', '商场', '商品', '销售额') : 0.108553
('购买', '规则', '促销', '商场', '商品', '打折') : 0.108553
('手段', '促销', '商场', '商品', '打折', '销售额') : 0.108553
('数据', '道德风险', '提高质量', '制造业', '避免', '半导体') : 0.121711
('手段', '规则', '促销', '商场', '购物券', '打折') : 0.105263
('数据', '道德风险', '提高质量', '制造业', '半导体', '成本') : 0.121711
('手段', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('手段', '购买', '规则', '促销', '购物券', '商品') : 0.111842
('模式', '客户', '网站', '保留', '用户', '识别') : 0.115132
('手段', '规则', '商场', '商品', '打折', '销售额') : 0.108553
('数据', '保险公司', '制造业', '避免', '半导体', '成本') : 0.121711
('手段', '购买', '规则', '促销', '购物券', '销售额') : 0.111842
('购买', '规则', '商场', '购物券', '销售额', '打折') : 0.105263
('模式', '客户', '保留', '用户', '个性化', '识别') : 0.115132
('手段', '购买', '促销', '商场', '商品', '销售额') : 0.108553
('购买', '促销', '商场', '购物券', '商品', '打折') : 0.105263
('模式', '客户', '网站', '个性化', '用户', '识别') : 0.115132
('数据', '保险公司', '利润', '道德风险', '提高质量', '半导体') : 0.121711
('模式', '客户', '网站', '保留', '个性化', '用户') : 0.115132
('购买', '手段', '规则', '商场', '购物券', '打折') : 0.105263
('数据', '保险公司', '提高质量', '制造业', '避免', '半导体') : 0.121711
('规则', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('数据', '保险公司', '道德风险', '制造业', '避免', '成本') : 0.121711
('手段', '促销', '商场', '购物券', '销售额', '打折') : 0.105263
('手段', '规则', '促销', '商场', '商品', '打折') : 0.108553
('购买', '规则', '促销', '商场', '购物券', '打折') : 0.105263
('数据', '保险公司', '道德风险', '提高质量', '制造业', '避免') : 0.121711
('客户', '网站', '保留', '个性化', '电子商务', '识别') : 0.118421
('购买', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('保险公司', '利润', '购买', '避免', '商品', '成本') : 0.105263
('购买', '手段', '促销', '商场', '购物券', '销售额') : 0.105263
('保险公司', '利润', '道德风险', '制造业', '半导体', '成本') : 0.121711
('保险公司', '购买', '道德风险', '避免', '商品', '成本') : 0.105263
('模式', '保留', '用户', '个性化', '电子商务', '识别') : 0.115132
('数据', '保险公司', '利润', '提高质量', '制造业', '避免') : 0.121711
('购买', '促销', '商场', '购物券', '销售额', '打折') : 0.105263
('数据', '道德风险', '制造业', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '制造业', '半导体', '成本') : 0.121711
('客户', '网站', '保留', '用户', '电子商务', '识别') : 0.118421
('客户', '保留', '个性化', '用户', '电子商务', '识别') : 0.118421
('数据', '保险公司', '道德风险', '制造业', '避免', '半导体') : 0.121711
('数据', '利润', '提高质量', '制造业', '半导体', '成本') : 0.121711
('购买', '规则', '促销', '商场', '销售额', '打折') : 0.108553
('数据', '利润', '道德风险', '制造业', '避免', '半导体') : 0.121711
('数据', '保险公司', '道德风险', '制造业', '半导体', '成本') : 0.121711
('数据', '利润', '制造业', '避免', '半导体', '成本') : 0.121711
('手段', '规则', '促销', '购物券', '商品', '打折') : 0.111842
('数据', '利润', '道德风险', '提高质量', '制造业', '半导体') : 0.121711
('数据', '保险公司', '道德风险', '提高质量', '制造业', '成本') : 0.121711
('利润', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '提高质量', '避免', '成本') : 0.121711
('数据', '利润', '道德风险', '制造业', '避免', '成本') : 0.121711
('保险公司', '利润', '道德风险', '避免', '半导体', '成本') : 0.121711
('保险公司', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('规则', '促销', '商场', '商品', '打折', '销售额') : 0.108553
('购买', '手段', '促销', '商场', '商品', '打折') : 0.108553
('保险公司', '利润', '道德风险', '用户', '避免', '成本') : 0.108553
('手段', '规则', '商场', '购物券', '商品', '打折') : 0.105263
('数据', '保险公司', '利润', '道德风险', '提高质量', '制造业') : 0.121711
('数据', '道德风险', '提高质量', '制造业', '避免', '成本') : 0.121711
('保险公司', '道德风险', '提高质量', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '道德风险', '制造业', '避免') : 0.121711
('利润', '道德风险', '提高质量', '避免', '半导体', '成本') : 0.121711
('手段', '规则', '促销', '商场', '销售额', '打折') : 0.108553
('手段', '规则', '促销', '商场', '购物券', '销售额') : 0.105263
('购买', '规则', '促销', '商场', '商品', '销售额') : 0.108553
('数据', '保险公司', '利润', '道德风险', '制造业', '成本') : 0.121711
('手段', '促销', '购物券', '商品', '打折', '销售额') : 0.111842
('购买', '规则', '促销', '购物券', '商品', '打折') : 0.111842
('模式', '客户', '用户', '个性化', '电子商务', '识别') : 0.115132
('购买', '手段', '规则', '商场', '购物券', '商品') : 0.105263
('手段', '规则', '促销', '购物券', '销售额', '打折') : 0.111842
('数据', '保险公司', '道德风险', '提高质量', '避免', '半导体') : 0.121711
('保险公司', '利润', '道德风险', '提高质量', '制造业', '成本') : 0.121711
('数据', '保险公司', '提高质量', '避免', '半导体', '成本') : 0.121711
('数据', '利润', '道德风险', '提高质量', '半导体', '成本') : 0.121711
('手段', '促销', '商场', '购物券', '商品', '销售额') : 0.105263
('数据', '保险公司', '利润', '提高质量', '制造业', '半导体') : 0.121711
('规则', '促销', '商场', '购物券', '销售额', '打折') : 0.105263
('保险公司', '利润', '提高质量', '制造业', '避免', '成本') : 0.121711
('数据', '利润', '提高质量', '避免', '半导体', '成本') : 0.121711
('手段', '购买', '促销', '商场', '购物券', '打折') : 0.105263
('购买', '手段', '促销', '购物券', '销售额', '打折') : 0.111842
('购买', '规则', '商场', '购物券', '商品', '打折') : 0.105263
('手段', '规则', '商场', '购物券', '商品', '销售额') : 0.105263
('数据', '利润', '道德风险', '制造业', '半导体', '成本') : 0.121711
('规则', '促销', '购物券', '商品', '打折', '销售额') : 0.111842
('数据', '保险公司', '道德风险', '提高质量', '制造业', '半导体') : 0.121711
('手段', '购买', '促销', '购物券', '商品', '打折') : 0.111842
('手段', '购买', '规则', '促销', '销售额', '打折') : 0.115132
('保险公司', '利润', '道德风险', '提高质量', '避免', '成本') : 0.121711
('手段', '购买', '规则', '促销', '商场', '打折') : 0.108553
('数据', '保险公司', '利润', '提高质量', '避免', '半导体') : 0.121711
('购买', '手段', '规则', '促销', '商场', '购物券') : 0.105263
('购买', '规则', '促销', '商场', '购物券', '销售额') : 0.105263
('手段', '规则', '促销', '商场', '商品', '销售额') : 0.108553
('手段', '购买', '商场', '购物券', '商品', '销售额') : 0.105263
('购买', '促销', '购物券', '商品', '打折', '销售额') : 0.111842
('数据', '保险公司', '利润', '提高质量', '半导体', '成本') : 0.121711
('保险公司', '道德风险', '制造业', '避免', '半导体', '成本') : 0.121711
('手段', '规则', '促销', '购物券', '商品', '销售额') : 0.111842
('数据', '保险公司', '利润', '道德风险', '提高质量', '避免') : 0.121711
('利润', '道德风险', '提高质量', '制造业', '避免', '半导体') : 0.121711
('购买', '规则', '促销', '购物券', '销售额', '打折') : 0.111842
('模式', '客户', '网站', '用户', '电子商务', '识别') : 0.115132
('保险公司', '道德风险', '提高质量', '制造业', '半导体', '成本') : 0.121711
('手段', '规则', '促销', '商场', '购物券', '商品') : 0.105263
('购买', '手段', '购物券', '商品', '打折', '销售额') : 0.111842
('模式', '客户', '网站', '保留', '用户', '电子商务') : 0.115132
('购买', '促销', '商场', '购物券', '商品', '销售额') : 0.105263
('购买', '手段', '商场', '购物券', '商品', '打折') : 0.105263
('购买', '手段', '促销', '商品', '打折', '销售额') : 0.115132
('手段', '购买', '促销', '购物券', '商品', '销售额') : 0.111842
('购买', '规则', '商场', '购物券', '商品', '销售额') : 0.105263
('保险公司', '利润', '制造业', '避免', '半导体', '成本') : 0.121711
('购买', '手段', '规则', '促销', '商场', '商品') : 0.108553
('保险公司', '利润', '道德风险', '提高质量', '制造业', '半导体') : 0.121711
('客户', '网站', '保留', '用户', '个性化', '识别') : 0.118421
('保险公司', '利润', '提高质量', '制造业', '避免', '半导体') : 0.121711
('模式', '客户', '保留', '用户', '个性化', '电子商务') : 0.115132
('保险公司', '利润', '道德风险', '制造业', '避免', '成本') : 0.121711
('购买', '规则', '促销', '商品', '打折', '销售额') : 0.115132
('购买', '规则', '促销', '购物券', '商品', '销售额') : 0.111842
('保险公司', '利润', '道德风险', '制造业', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '道德风险', '制造业', '避免', '成本') : 0.121711
('数据', '保险公司', '利润', '道德风险', '提高质量', '避免', '成本') : 0.121711
('利润', '道德风险', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('模式', '客户', '网站', '保留', '用户', '个性化', '识别') : 0.115132
('规则', '促销', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('数据', '利润', '道德风险', '提高质量', '制造业', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '道德风险', '提高质量', '避免', '半导体') : 0.121711
('数据', '保险公司', '道德风险', '提高质量', '制造业', '半导体', '成本') : 0.121711
('数据', '利润', '道德风险', '提高质量', '制造业', '避免', '半导体') : 0.121711
('数据', '保险公司', '道德风险', '制造业', '避免', '半导体', '成本') : 0.121711
('购买', '手段', '规则', '促销', '商场', '购物券', '商品') : 0.105263
('数据', '保险公司', '道德风险', '提高质量', '避免', '半导体', '成本') : 0.121711
('购买', '手段', '规则', '促销', '商场', '商品', '打折') : 0.108553
('数据', '道德风险', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('保险公司', '利润', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('模式', '客户', '保留', '用户', '个性化', '电子商务', '识别') : 0.115132
('数据', '保险公司', '利润', '提高质量', '制造业', '避免', '成本') : 0.121711
('模式', '网站', '保留', '个性化', '用户', '电子商务', '识别') : 0.115132
('购买', '规则', '促销', '商场', '购物券', '商品', '打折') : 0.105263
('数据', '保险公司', '利润', '道德风险', '提高质量', '制造业', '成本') : 0.121711
('手段', '购买', '规则', '商场', '商品', '购物券', '销售额') : 0.105263
('购买', '手段', '规则', '商场', '商品', '打折', '销售额') : 0.108553
('手段', '购买', '规则', '促销', '商场', '购物券', '打折') : 0.105263
('手段', '购买', '规则', '促销', '购物券', '销售额', '打折') : 0.111842
('数据', '利润', '道德风险', '提高质量', '制造业', '避免', '成本') : 0.121711
('保险公司', '利润', '道德风险', '提高质量', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '道德风险', '提高质量', '制造业', '避免', '半导体') : 0.121711
('数据', '利润', '道德风险', '制造业', '避免', '半导体', '成本') : 0.121711
('手段', '购买', '规则', '促销', '商场', '购物券', '销售额') : 0.105263
('数据', '保险公司', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '道德风险', '避免', '半导体', '成本') : 0.121711
('购买', '促销', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('手段', '规则', '促销', '商场', '购物券', '商品', '打折') : 0.105263
('手段', '购买', '规则', '商场', '购物券', '销售额', '打折') : 0.105263
('购买', '规则', '促销', '商场', '购物券', '商品', '销售额') : 0.105263
('数据', '保险公司', '利润', '道德风险', '制造业', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '道德风险', '制造业', '避免', '半导体') : 0.121711
('手段', '购买', '规则', '促销', '商品', '打折', '销售额') : 0.115132
('手段', '购买', '规则', '促销', '购物券', '商品', '打折') : 0.111842
('数据', '保险公司', '利润', '道德风险', '提高质量', '制造业', '避免') : 0.121711
('保险公司', '利润', '道德风险', '提高质量', '制造业', '避免', '半导体') : 0.121711
('手段', '促销', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('手段', '规则', '促销', '商场', '商品', '打折', '销售额') : 0.108553
('手段', '规则', '促销', '商场', '购物券', '商品', '销售额') : 0.105263
('购买', '规则', '促销', '商场', '购物券', '销售额', '打折') : 0.105263
('数据', '保险公司', '利润', '提高质量', '制造业', '避免', '半导体') : 0.121711
('购买', '规则', '促销', '商场', '商品', '打折', '销售额') : 0.108553
('手段', '规则', '促销', '商场', '购物券', '销售额', '打折') : 0.105263
('数据', '保险公司', '利润', '道德风险', '提高质量', '制造业', '半导体') : 0.121711
('模式', '客户', '网站', '保留', '个性化', '电子商务', '识别') : 0.115132
('手段', '购买', '规则', '促销', '商场', '商品', '销售额') : 0.108553
('模式', '客户', '网站', '个性化', '用户', '电子商务', '识别') : 0.115132
('保险公司', '利润', '道德风险', '提高质量', '制造业', '半导体', '成本') : 0.121711
('购买', '规则', '促销', '购物券', '商品', '打折', '销售额') : 0.111842
('数据', '保险公司', '道德风险', '提高质量', '制造业', '避免', '成本') : 0.121711
('保险公司', '道德风险', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('手段', '购买', '促销', '商场', '购物券', '商品', '销售额') : 0.105263
('模式', '客户', '网站', '保留', '用户', '电子商务', '识别') : 0.115132
('手段', '购买', '促销', '购物券', '商品', '打折', '销售额') : 0.111842
('数据', '保险公司', '利润', '道德风险', '提高质量', '半导体', '成本') : 0.121711
('数据', '利润', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '提高质量', '避免', '半导体', '成本') : 0.121711
('手段', '规则', '促销', '购物券', '商品', '打折', '销售额') : 0.111842
('保险公司', '利润', '道德风险', '提高质量', '制造业', '避免', '成本') : 0.121711
('数据', '利润', '道德风险', '提高质量', '避免', '半导体', '成本') : 0.121711
('购买', '手段', '促销', '商场', '购物券', '销售额', '打折') : 0.105263
('数据', '保险公司', '利润', '提高质量', '制造业', '半导体', '成本') : 0.121711
('购买', '规则', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('购买', '手段', '规则', '促销', '购物券', '商品', '销售额') : 0.111842
('模式', '客户', '网站', '保留', '个性化', '用户', '电子商务') : 0.115132
('保险公司', '利润', '购买', '道德风险', '避免', '商品', '成本') : 0.105263
('手段', '购买', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('手段', '购买', '促销', '商场', '商品', '打折', '销售额') : 0.108553
('手段', '规则', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('客户', '网站', '保留', '个性化', '用户', '电子商务', '识别') : 0.118421
('手段', '购买', '促销', '商场', '购物券', '商品', '打折') : 0.105263
('手段', '购买', '规则', '促销', '商场', '销售额', '打折') : 0.108553
('手段', '购买', '规则', '商场', '购物券', '商品', '打折') : 0.105263
('手段', '购买', '规则', '购物券', '商品', '打折', '销售额') : 0.111842
('数据', '保险公司', '利润', '制造业', '避免', '半导体', '成本') : 0.121711
('购买', '手段', '规则', '促销', '商场', '商品', '打折', '销售额') : 0.108553
('购买', '规则', '促销', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('购买', '手段', '规则', '促销', '商场', '购物券', '商品', '打折') : 0.105263
('数据', '保险公司', '利润', '道德风险', '提高质量', '制造业', '半导体', '成本') : 0.121711
('数据', '保险公司', '道德风险', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('购买', '手段', '促销', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('手段', '购买', '规则', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('数据', '保险公司', '利润', '道德风险', '提高质量', '制造业', '避免', '半导体') : 0.121711
('手段', '规则', '促销', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
('手段', '购买', '规则', '促销', '商品', '购物券', '销售额', '打折') : 0.111842
('模式', '客户', '网站', '保留', '用户', '个性化', '电子商务', '识别') : 0.115132
('手段', '购买', '规则', '促销', '商场', '购物券', '销售额', '打折') : 0.105263
('数据', '保险公司', '利润', '道德风险', '提高质量', '制造业', '避免', '成本') : 0.121711
('购买', '手段', '规则', '促销', '商场', '购物券', '商品', '销售额') : 0.105263
('数据', '保险公司', '利润', '道德风险', '制造业', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '道德风险', '提高质量', '避免', '半导体', '成本') : 0.121711
('保险公司', '利润', '道德风险', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('数据', '利润', '道德风险', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('数据', '保险公司', '利润', '道德风险', '提高质量', '制造业', '避免', '半导体', '成本') : 0.121711
('购买', '手段', '规则', '促销', '商场', '购物券', '商品', '打折', '销售额') : 0.105263
